Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2020-01-12 00:00:00,142.4,144.5,141.76,143.93,50820.85119,2020-01-12 03:59:59.999,7282083.9161406,19871,25804.19525,3699854.0108705,0
2020-01-12 04:00:00,143.97,145.88,143.36,144.54,42226.75116,2020-01-12 07:59:59.999,6108581.5093294,17617,19455.31799,2814880.1105598,0
2020-01-12 08:00:00,144.55,145.4,143.2,143.48,33570.53538,2020-01-12 11:59:59.999,4840505.1082186,19014,16390.59127,2363290.9007748,0
2020-01-12 12:00:00,143.48,145.4,143.33,144.92,39475.81486,2020-01-12 15:59:59.999,5696477.2183629,20520,19522.07438,2817654.7078379,0
2020-01-12 16:00:00,144.93,145.61,143.57,144.46,42500.10928,2020-01-12 19:59:59.999,6142551.3651669,20831,19460.3818,2813269.2946155,0
2020-01-12 20:00:00,144.46,146.6,144.31,146.54,20947.7995,2020-01-12 23:59:59.999,3042651.7050162,12989,11736.90784,1705638.1045187,0
2020-01-13 00:00:00,146.56,147.0,142.57,143.38,55573.01486,2020-01-13 03:59:59.999,8030900.7770457,22989,28026.11813,4049848.2265818,0
2020-01-13 04:00:00,143.39,144.03,142.27,142.87,29322.38282,2020-01-13 07:59:59.999,4198182.6642663,14498,13977.27301,2001547.5735355,0
2020-01-13 08:00:00,142.88,144.44,142.54,142.77,41106.34042,2020-01-13 11:59:59.999,5894058.4681362,19465,18586.365,2665371.8413033,0
2020-01-13 12:00:00,142.76,143.74,142.6,142.83,30017.63392,2020-01-13 15:59:59.999,4294361.6494987,17625,13469.31652,1927070.1754496,0
2020-01-13 16:00:00,142.83,143.95,142.55,143.5,23716.78384,2020-01-13 19:59:59.999,3398053.6291733,13711,11563.07853,1656678.7404274,0
2020-01-13 20:00:00,143.5,144.66,143.42,143.58,28260.46279,2020-01-13 23:59:59.999,4072538.1789306,14256,13824.04977,1992456.6397519,0
2020-01-14 00:00:00,143.58,149.34,143.51,148.94,151274.82324,2020-01-14 03:59:59.999,22211406.9065017,46097,79223.94787,11632449.155373,0
2020-01-14 04:00:00,148.94,150.74,148.0,149.0,94573.55009,2020-01-14 07:59:59.999,14111829.3707034,31194,49599.05572,7400767.4572341,0
2020-01-14 08:00:00,149.0,151.75,148.93,151.56,82788.79616,2020-01-14 11:59:59.999,12441025.2013139,29765,37943.68645,5702492.5370682,0
2020-01-14 12:00:00,151.56,157.69,150.75,156.04,248079.89442,2020-01-14 15:59:59.999,38270440.7801075,66867,126435.82763,19519729.4245981,0
2020-01-14 16:00:00,155.89,171.7,153.09,165.42,409962.06726,2020-01-14 19:59:59.999,66441633.4154572,104817,214218.77301,34723824.6501115,0
2020-01-14 20:00:00,165.42,168.0,160.31,165.64,121797.18069,2020-01-14 23:59:59.999,20015670.5741238,42668,61989.55379,10191807.1751559,0
2020-01-15 00:00:00,165.6,171.98,162.64,162.64,224802.32614,2020-01-15 03:59:59.999,37633802.6223522,66657,110388.86871,18497148.0424311,0
2020-01-15 04:00:00,162.63,163.8,159.2,161.54,117864.30015,2020-01-15 07:59:59.999,19042521.5910299,39294,51955.86849,8398072.4642472,0
2020-01-15 08:00:00,161.48,167.8,161.0,164.43,95587.6489,2020-01-15 11:59:59.999,15778087.7430827,34601,49197.11753,8120774.2412326,0
2020-01-15 12:00:00,164.49,168.92,162.0,162.41,124284.15347,2020-01-15 15:59:59.999,20581779.6695274,44129,58542.66298,9695255.615236,0
2020-01-15 16:00:00,162.41,165.2,160.52,164.61,80778.00758,2020-01-15 19:59:59.999,13218626.9838205,30401,40208.70518,6580012.1105731,0
2020-01-15 20:00:00,164.62,167.34,163.91,166.4,78371.36757,2020-01-15 23:59:59.999,12985119.3201297,36101,40434.74104,6700929.5074716,0
2020-01-16 00:00:00,166.4,167.4,157.8,159.85,136033.58201,2020-01-16 03:59:59.999,22001871.0771982,40343,59835.03828,9681273.8370268,0
2020-01-16 04:00:00,159.87,162.6,159.28,161.0,48395.02249,2020-01-16 07:59:59.999,7797897.0919995,20945,25846.17068,4163900.1546088,0
2020-01-16 08:00:00,161.0,164.08,159.65,164.07,66603.0619,2020-01-16 11:59:59.999,10775378.1432906,28569,34806.39572,5631395.7901674,0
2020-01-16 12:00:00,164.01,165.62,160.2,162.52,82647.83991,2020-01-16 15:59:59.999,13449121.9779746,35598,39999.67492,6509691.5339827,0
2020-01-16 16:00:00,162.51,164.26,160.65,163.57,66267.63311,2020-01-16 19:59:59.999,10788095.0846108,30338,33130.69736,5394029.7949169,0
2020-01-16 20:00:00,163.56,165.88,162.31,164.21,56223.72777,2020-01-16 23:59:59.999,9226287.4540573,23315,28051.41932,4605270.0203391,0
2020-01-17 00:00:00,164.24,167.44,162.14,165.14,95399.287,2020-01-17 03:59:59.999,15760591.1781665,36532,45767.37858,7564099.0282402,0
2020-01-17 04:00:00,165.14,171.51,164.85,171.08,190482.44857,2020-01-17 07:59:59.999,32181146.3035284,62521,93855.24647,15865678.0731643,0
2020-01-17 08:00:00,171.08,174.81,169.66,169.99,157524.37148,2020-01-17 11:59:59.999,27039895.4898955,52590,77994.16638,13387301.9325717,0
2020-01-17 12:00:00,169.98,170.24,165.13,168.34,101606.09506,2020-01-17 15:59:59.999,17027598.6465405,36838,47749.17772,8004000.4224395,0
2020-01-17 16:00:00,168.31,173.72,167.02,169.23,161847.09908,2020-01-17 19:59:59.999,27603954.9115919,55971,79750.97869,13608161.0716535,0
2020-01-17 20:00:00,169.23,173.38,168.42,169.85,60321.37734,2020-01-17 23:59:59.999,10296078.726434,29415,30026.0673,5124610.2064666,0
2020-01-18 00:00:00,169.92,173.69,169.0,171.93,80500.66068,2020-01-18 03:59:59.999,13841653.2606982,32598,41062.2711,7062474.2257676,0
2020-01-18 04:00:00,171.91,171.97,164.92,168.07,108080.20752,2020-01-18 07:59:59.999,18168156.8191525,38705,49469.93646,8319218.2092338,0
2020-01-18 08:00:00,168.1,170.11,167.21,169.07,44265.8363,2020-01-18 11:59:59.999,7477881.1373885,23256,22502.99134,3801199.3425297,0
2020-01-18 12:00:00,169.12,179.5,168.84,175.53,266976.18709,2020-01-18 15:59:59.999,46834027.8428143,81762,138859.54946,24354159.4959718,0
2020-01-18 16:00:00,175.54,177.6,172.73,174.97,132076.9813,2020-01-18 19:59:59.999,23079724.6626103,42088,69836.46787,12204648.3533157,0
2020-01-18 20:00:00,174.95,177.04,173.87,174.14,56883.30693,2020-01-18 23:59:59.999,9986895.0298304,22251,28715.79888,5041611.0422663,0
2020-01-19 00:00:00,174.1,178.05,173.29,176.25,102103.65747,2020-01-19 03:59:59.999,17990047.7051439,36953,50749.668,8943953.0351155,0
2020-01-19 04:00:00,176.26,176.9,174.6,176.55,59068.41919,2020-01-19 07:59:59.999,10386271.4148248,22581,27477.56677,4833387.0563594,0
2020-01-19 08:00:00,176.55,177.3,164.0,166.62,175056.12278,2020-01-19 11:59:59.999,29767243.463623,54275,77774.22197,13219071.7515474,0
2020-01-19 12:00:00,166.61,166.61,161.66,164.81,137153.59993,2020-01-19 15:59:59.999,22549076.6720727,45857,72667.89224,11948175.2863282,0
2020-01-19 16:00:00,164.75,166.18,163.88,164.92,67871.14047,2020-01-19 19:59:59.999,11196524.0833366,21201,35027.29728,5779272.3262022,0
2020-01-19 20:00:00,164.95,167.5,163.56,166.79,83428.3462,2020-01-19 23:59:59.999,13802205.4806613,23086,43653.99328,7233675.3975397,0
2020-01-20 00:00:00,166.79,167.6,165.1,165.66,47995.664,2020-01-20 03:59:59.999,7965806.3919239,17659,22841.79306,3790385.4243375,0
2020-01-20 04:00:00,165.65,166.4,164.29,165.63,43112.18531,2020-01-20 07:59:59.999,7133736.4308654,16917,21403.41753,3541121.3638881,0
2020-01-20 08:00:00,165.62,166.25,161.88,163.04,57953.5849,2020-01-20 11:59:59.999,9538192.4547572,23642,28455.37068,4689169.6828655,0
2020-01-20 12:00:00,163.05,167.04,161.24,166.83,94533.85325,2020-01-20 15:59:59.999,15510481.4865765,32498,48173.72482,7904329.9344177,0
2020-01-20 16:00:00,166.88,167.79,165.96,167.67,59096.94886,2020-01-20 19:59:59.999,9863883.2377457,19402,34577.89038,5773871.5145938,0
2020-01-20 20:00:00,167.66,169.33,166.6,166.87,55400.64778,2020-01-20 23:59:59.999,9280434.7155962,20497,26375.99873,4420407.7361571,0
2020-01-21 00:00:00,166.86,168.4,165.61,168.3,43195.98364,2020-01-21 03:59:59.999,7207781.3565272,18294,18856.64659,3146531.0825886,0
2020-01-21 04:00:00,168.32,168.86,166.17,166.53,45753.14593,2020-01-21 07:59:59.999,7651706.757429,18673,26583.07786,4442609.263086,0
2020-01-21 08:00:00,166.51,168.7,165.86,167.93,59330.45841,2020-01-21 11:59:59.999,9933999.7827972,21455,29294.14957,4902494.4227007,0
2020-01-21 12:00:00,167.92,169.25,167.32,168.1,35651.63268,2020-01-21 15:59:59.999,6003562.1529629,17891,17986.49075,3028572.8215416,0
2020-01-21 16:00:00,168.09,168.48,164.8,165.12,58105.51505,2020-01-21 19:59:59.999,9697098.6984194,22040,29928.46698,4999239.7636901,0
2020-01-21 20:00:00,165.13,170.32,165.12,169.49,65970.89959,2020-01-21 23:59:59.999,11121083.818854,27256,32020.73138,5397314.2675671,0
2020-01-22 00:00:00,169.48,170.05,167.79,168.69,35923.95804,2020-01-22 03:59:59.999,6074764.276008,16598,17752.32514,3002691.4179552,0
2020-01-22 04:00:00,168.69,171.47,168.62,169.2,72123.02613,2020-01-22 07:59:59.999,12251173.7642927,23522,37799.10828,6426828.3028813,0
2020-01-22 08:00:00,169.25,169.55,167.31,168.0,68841.08758,2020-01-22 11:59:59.999,11597374.8563107,22644,30844.24889,5199280.096943,0
2020-01-22 12:00:00,168.0,168.31,166.03,167.42,41794.51926,2020-01-22 15:59:59.999,6985058.4996347,20566,18147.55245,3033770.6264971,0
2020-01-22 16:00:00,167.43,169.04,166.62,168.0,36763.70026,2020-01-22 19:59:59.999,6175152.2418415,17462,17888.06327,3005204.7227231,0
2020-01-22 20:00:00,167.97,168.23,167.5,168.07,16794.61159,2020-01-22 23:59:59.999,2819610.5248256,10225,8752.5082,1469450.6067465,0
2020-01-23 00:00:00,168.07,168.2,164.18,165.44,68790.27107,2020-01-23 03:59:59.999,11410980.1298251,24735,29103.20974,4827112.7486785,0
2020-01-23 04:00:00,165.44,165.57,162.71,164.88,71120.72779,2020-01-23 07:59:59.999,11672335.9812831,26273,39040.20352,6410238.7838056,0
2020-01-23 08:00:00,164.86,165.69,162.5,162.7,62768.27365,2020-01-23 11:59:59.999,10270807.7430556,26083,28959.71036,4739221.7845841,0
2020-01-23 12:00:00,162.7,163.9,161.08,163.15,64252.37778,2020-01-23 15:59:59.999,10431264.8892804,26998,29229.28361,4745953.7773429,0
2020-01-23 16:00:00,163.17,163.47,159.21,160.63,68009.80621,2020-01-23 19:59:59.999,10949210.1050072,29366,31732.25401,5109428.7000365,0
2020-01-23 20:00:00,160.62,163.46,159.85,162.81,38472.89335,2020-01-23 23:59:59.999,6237060.926131,17420,21056.65802,3412908.9693395,0
2020-01-24 00:00:00,162.85,163.42,157.5,158.99,72563.75256,2020-01-24 03:59:59.999,11650839.1860418,23269,33569.15807,5397089.1063538,0
2020-01-24 04:00:00,158.99,159.98,158.25,159.25,43247.07417,2020-01-24 07:59:59.999,6879154.5873798,19042,20988.23237,3338823.210698,0
2020-01-24 08:00:00,159.24,161.02,155.55,160.63,111919.12377,2020-01-24 11:59:59.999,17659212.1683149,36157,49971.7033,7890521.6849337,0
2020-01-24 12:00:00,160.7,163.32,160.0,162.62,97650.82676,2020-01-24 15:59:59.999,15772670.6914275,30060,44133.40416,7130386.8472206,0
2020-01-24 16:00:00,162.67,164.45,160.6,163.71,67213.29973,2020-01-24 19:59:59.999,10918694.1228463,22871,37465.08345,6092115.5039988,0
2020-01-24 20:00:00,163.7,164.37,162.0,162.54,37419.12203,2020-01-24 23:59:59.999,6100153.3044844,14269,15810.25506,2579869.651802,0
2020-01-25 00:00:00,162.51,162.58,157.61,159.05,69837.78268,2020-01-25 03:59:59.999,11113950.3669542,23342,38272.34478,6085832.2312184,0
2020-01-25 04:00:00,159.0,160.61,158.65,159.53,24339.51967,2020-01-25 07:59:59.999,3886189.249894,12257,12226.13457,1951454.0369054,0
2020-01-25 08:00:00,159.53,161.52,158.8,159.29,43622.15031,2020-01-25 11:59:59.999,6988680.8089654,17537,21025.24258,3365373.1002782,0
2020-01-25 12:00:00,159.3,161.0,158.7,160.41,25015.67605,2020-01-25 15:59:59.999,4001959.9552798,14330,13000.12296,2079824.4404535,0
2020-01-25 16:00:00,160.43,161.6,159.95,161.0,24774.52771,2020-01-25 19:59:59.999,3986189.705465,13328,15297.83005,2462161.1789506,0
2020-01-25 20:00:00,161.0,162.79,160.14,160.35,32331.99555,2020-01-25 23:59:59.999,5219638.2197784,14654,14800.77091,2390702.1738455,0
2020-01-26 00:00:00,160.36,161.78,159.41,161.22,29271.42445,2020-01-26 03:59:59.999,4695349.1730078,15277,13856.68836,2223636.0765188,0
2020-01-26 04:00:00,161.22,161.69,160.46,161.23,17225.08052,2020-01-26 07:59:59.999,2772758.6127078,10986,8419.765,1355482.955153,0
2020-01-26 08:00:00,161.24,163.63,160.87,163.14,56736.30919,2020-01-26 11:59:59.999,9223002.5137217,22297,28263.05655,4593796.748032,0
2020-01-26 12:00:00,163.17,164.1,162.78,163.37,36517.27056,2020-01-26 15:59:59.999,5969564.5794664,19235,19052.98995,3115824.9709292,0
2020-01-26 16:00:00,163.35,167.05,163.19,166.18,70824.72197,2020-01-26 19:59:59.999,11723158.0822869,27293,44589.47328,7376704.3320109,0
2020-01-26 20:00:00,166.12,168.08,166.0,167.86,41007.75089,2020-01-26 23:59:59.999,6855198.3767156,21540,21462.65366,3588429.7885829,0
2020-01-27 00:00:00,167.91,169.75,167.38,167.7,51706.813,2020-01-27 03:59:59.999,8706467.7754505,22387,26897.26791,4528142.4670976,0
2020-01-27 04:00:00,167.69,168.67,166.39,167.32,43720.05329,2020-01-27 07:59:59.999,7311526.2138403,19676,22013.35528,3682419.9748288,0
2020-01-27 08:00:00,167.32,168.9,165.22,168.6,65938.95519,2020-01-27 11:59:59.999,10998952.4983167,25865,30058.98685,5014527.152174,0
2020-01-27 12:00:00,168.57,170.9,168.16,170.03,76917.10186,2020-01-27 15:59:59.999,13045955.6486905,31059,39505.19315,6701481.6220682,0
2020-01-27 16:00:00,170.01,172.56,169.09,171.2,84025.98689,2020-01-27 19:59:59.999,14333750.9802694,33674,42222.70686,7205846.8663224,0
2020-01-27 20:00:00,171.2,172.04,169.63,170.08,43585.90894,2020-01-27 23:59:59.999,7449971.4979715,24411,22314.68775,3813261.4361928,0
2020-01-28 00:00:00,170.04,174.0,170.03,173.12,76342.65998,2020-01-28 03:59:59.999,13171862.2574308,30911,41517.69643,7164993.5637809,0
2020-01-28 04:00:00,173.12,173.72,170.65,172.0,74993.9427,2020-01-28 07:59:59.999,12917116.0604785,26451,40947.98288,7052702.8560411,0
2020-01-28 08:00:00,171.98,173.13,170.23,171.95,62803.23365,2020-01-28 11:59:59.999,10779294.3188721,24325,30669.42282,5265088.735967,0
2020-01-28 12:00:00,171.93,174.55,170.51,172.35,129087.90764,2020-01-28 15:59:59.999,22253304.1552385,44355,68370.11863,11787416.4636081,0
2020-01-28 16:00:00,172.34,172.96,170.04,171.23,51331.05247,2020-01-28 19:59:59.999,8793046.864334,22317,25225.77393,4320592.9799415,0
2020-01-28 20:00:00,171.18,176.2,171.15,175.64,78875.09965,2020-01-28 23:59:59.999,13734873.836595,30631,42521.62063,7405300.960097,0
2020-01-29 00:00:00,175.58,177.56,175.14,176.47,74660.16993,2020-01-29 03:59:59.999,13167399.6665098,30023,36446.74346,6427931.3117453,0
2020-01-29 04:00:00,176.47,178.45,175.86,178.08,56266.6031,2020-01-29 07:59:59.999,9974941.7296996,25095,26140.54503,4633451.9290125,0
2020-01-29 08:00:00,178.03,178.35,174.53,176.17,72312.79611,2020-01-29 11:59:59.999,12773804.2416586,31085,33282.10827,5881707.8790608,0
2020-01-29 12:00:00,176.19,176.54,174.8,175.09,40602.23941,2020-01-29 15:59:59.999,7136162.0275808,20261,19551.50787,3436647.8491085,0
2020-01-29 16:00:00,175.1,177.13,174.59,176.63,35446.02544,2020-01-29 19:59:59.999,6247236.2729163,19832,18051.34235,3181580.2283665,0
2020-01-29 20:00:00,176.63,177.24,173.33,173.72,38095.06762,2020-01-29 23:59:59.999,6688686.3359863,18766,17968.26008,3156841.9089433,0
2020-01-30 00:00:00,173.68,174.0,170.93,173.44,52564.59869,2020-01-30 03:59:59.999,9070122.6329919,25627,23918.76029,4128328.2391433,0
2020-01-30 04:00:00,173.44,176.55,173.37,176.09,51845.75545,2020-01-30 07:59:59.999,9049263.4290415,19952,26610.61282,4642732.6186503,0
2020-01-30 08:00:00,176.07,176.8,174.3,175.27,39928.76052,2020-01-30 11:59:59.999,7011416.173424,20048,19504.12713,3425038.4202492,0
